Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
Lush Residences,"2 BHK Apartment for Sale in Lush Residences, Wakad Pune",800 sqft,₹79 Lac,"₹7,722 per sqft",11 out of 25
Dhanashree Aanand,"2 BHK Apartment for Sale in Dhanashree Aanand, Handewadi Pune",725 sqft,₹48 Lac,"₹4,706 per sqft",9 out of 14
Nyati Evara 1,"3 BHK Apartment for Sale in Nyati Evara 1, Kad Nagar, Undri Pune",1236 sqft,₹1.03 Cr,"₹6,645 per sqft",9 out of 12
Platinum Genx Tower,"3 BHK Apartment for Sale in Platinum Genx Tower, Baner Pune",1311 sqft,₹1.32 Cr,"₹7,462 per sqft",6 out of 7
Sunflower Apartments,"2 BHK Apartment for Sale in Sunflower Apartments, NIBM Road Pune",750 sqft,₹57 Lac,"₹5,429 per sqft",3 out of 9
Riverdale Heights,"3 BHK Apartment for Sale in Riverdale Heights, EON Free Zone, Kharadi Pune",1065 sqft,₹1.44 Cr,"₹9,000 per sqft",15 out of 23
Menlo Hinjewadi Phase 2,"2 BHK Apartment for Sale in Menlo Hinjewadi Phase 2, Hinjawadi Pune",700 sqft,₹55 Lac,"₹5,820 per sqft",5 out of 13
Whistling Winds,"2 BHK Apartment for Sale in Whistling Winds, Pisoli Pune",740 sqft,₹45 Lac,"₹4,286 per sqft",2 out of 7
Rohan Ekam,"3 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",1046 sqft,₹1.27 Cr,"₹9,023 per sqft",9 out of 34
Royal KP Stellar,"3 BHK Apartment for Sale in Royal KP Stellar, Mohammed Wadi Pune",1009 sqft,₹1.03 Cr,"₹7,562 per sqft",10 out of 22
204 Blue Paradise,"3 BHK Apartment for Sale in 204 Blue Paradise, Baner Pune",,₹1.41 Cr,"₹9,289 per sqft",8 out of 13
Gera World of Joy,"2 BHK Apartment for Sale in Gera World of Joy, Kharadi Gaon, Kharadi Pune",1000 sqft,₹95 Lac,"₹8,582 per sqft",2 out of 2
Bramha Sun City Phase II,"4 BHK Apartment for Sale in Bramha Sun City Phase II, Kalyani Nagar Pune",1900 sqft,₹1.85 Cr,"₹7,708 per sqft",5 out of 9
Puraniks Abitante Fiore,"1 BHK Apartment for Sale in Puraniks Abitante Fiore, Bavdhan Pune",498 sqft,₹41 Lac,"₹5,857 per sqft",6 out of 22
204 Blue Paradise,"3 BHK Apartment for Sale in 204 Blue Paradise, Baner Pune",1125 sqft,₹1.45 Cr,"₹9,552 per sqft",9 out of 14
K Shire,"2 BHK Apartment for Sale in K Shire, Punawale, Pimpri Chinchwad Pune",750 sqft,₹65 Lac,"₹6,633 per sqft",2 out of 24
Omega Paradise,"3 BHK Apartment for Sale in Omega Paradise, Wakad Pune",1270 sqft,₹98 Lac,"₹6,262 per sqft",8 out of 12
Vardhman Moonstone,"2 BHK Apartment for Sale in Vardhman Moonstone, Tathawade Pimpri Chinchwad Pune",750 sqft,₹64 Lac,"₹5,818 per sqft",9 out of 13
Eon Waterfront,"4 BHK Apartment for Sale in Eon Waterfront, EON Free Zone, Kharadi Pune",3500 sqft,₹4.15 Cr,"₹10,169 per sqft",10 out of 17
Kolte Patil Life Republic,"3 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune",1287 sqft,₹94.8 Lac,"₹5,742 per sqft",18 out of 22
,2 BHK Apartment for Sale in NIBM Annexe Area Pune,840 sqft,₹85 Lac,"₹7,391 per sqft",5 out of 22
NYATI EQUINOX,"2 BHK Apartment for Sale in NYATI EQUINOX, Chandani Chowk, Bavdhan Pune",838 sqft,₹99 Lac,"₹8,753 per sqft",3 out of 27
Gulmohar Primrose,"3 BHK Apartment for Sale in Gulmohar Primrose, Wagholi Pune",1050 sqft,₹92 Lac,"₹6,672 per sqft",
Gagan Klara,"3 BHK Apartment for Sale in Gagan Klara, Balewadi Pune",1150 sqft,₹1.60 Cr,"₹10,309 per sqft",10 out of 23
Itrend Futura,"2 BHK Apartment for Sale in Itrend Futura, Mahalunge Pune",776 sqft,₹88 Lac,"₹7,652 per sqft",12 out of 25
Ceratec Presidential Towers,"2 BHK Apartment for Sale in Ceratec Presidential Towers, Ravet, Pimpri Chinchwad Pune",776 sqft,₹74 Lac,"₹6,801 per sqft",Lower Basement out of 31
Park Astra,"2 BHK Apartment for Sale in Park Astra, Marunji, Hinjawadi Pune",688 sqft,₹63 Lac,"₹6,429 per sqft",15 out of 17
K Town Kiwale,"2 BHK Apartment for Sale in K Town Kiwale, Kiwale, Dehu Road Pune",752 sqft,₹59 Lac,"₹6,033 per sqft",
Nancy Hillview A1,"2 BHK Apartment for Sale in Nancy Hillview A1, Baner Pune",890 sqft,₹97 Lac,"₹8,070 per sqft",
Gera World of Joy,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1240 sqft,₹1.44 Cr,"₹8,597 per sqft",8 out of 14
Bramha Sun City Phase 2,"4 BHK Apartment for Sale in Bramha Sun City Phase 2, Kalyani Nagar Pune",2800 sqft,₹4.50 Cr,"₹14,980 per sqft",4 out of 12
Marvel Sangria,"3 BHK Apartment for Sale in Marvel Sangria, NIBM Road Pune",2300 sqft,₹3.20 Cr,"₹6,667 per sqft",1 out of 12
Godrej Parkridge,"2 BHK Apartment for Sale in Godrej Parkridge, Manjri, Manjri Budruk Pune",621 sqft,₹63 Lac,"₹7,518 per sqft",20 out of 22
Park Royal,"2 BHK Apartment for Sale in Park Royal, Pimple Saudagar, Pimpri Chinchwad Pune",900 sqft,₹1.15 Cr,"₹10,000 per sqft",4 out of 12
,3 BHK Apartment for Sale in Chattushringi Pune,1400 sqft,₹2 Cr,"₹12,500 per sqft",5 out of 10
Rahul Aston,"2 BHK Apartment for Sale in Rahul Aston, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",799 sqft,₹81 Lac,"₹7,714 per sqft",15 out of 22
,3 BHK Apartment for Sale in Ashok Nagar Tathawade Pune,,₹98 Lac,"₹7,603 per sqft",8 out of 15
Kumar Priyadarshan,"2 BHK Apartment for Sale in Kumar Priyadarshan, Pashan Pune",800 sqft,₹75 Lac,"₹6,818 per sqft",9 out of 10
Kumar Parth Tower,"4 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",1550 sqft,₹2.05 Cr,"₹9,144 per sqft",17 out of 30
Konark Splendour,"2 BHK Apartment for Sale in Konark Splendour, Kalyani Nagar Pune",1000 sqft,₹1 Cr,"₹7,994 per sqft",2 out of 10
,1 BHK Apartment for Sale in Keshav Nagar Mundhwa Pune,475 sqft,₹38.5 Lac,"₹6,230 per sqft",2 out of 6
Que 914,"3 BHK Apartment for Sale in Que 914, Keshav Nagar Mundhwa Pune",,₹90 Lac,"₹7,335 per sqft",10 out of 18
Oxy Beaumonde,"3 BHK Apartment for Sale in Oxy Beaumonde, Viman Nagar Pune",1170 sqft,₹1.55 Cr,"₹9,949 per sqft",5 out of 8
K Shire,"2 BHK Apartment for Sale in K Shire, Punawale, Pimpri Chinchwad Pune",793 sqft,₹76 Lac,"₹7,103 per sqft",10 out of 22
,"3 BHK Apartment for Sale in Marunji, Hinjawadi Pune",1176 sqft,₹98.2 Lac,"₹7,554 per sqft",2 out of 22
Horizon Highgroves,"3 BHK Apartment for Sale in Horizon Highgroves, Mundhwa Pune",1104 sqft,₹1.24 Cr,"₹7,908 per sqft",9 out of 13
Pride World City Wellington,"2 BHK Apartment for Sale in Pride World City Wellington, Dhanori Lohegaon Road Pune",780 sqft,₹64.2 Lac,"₹6,117 per sqft",14 out of 21
Nyati Exuberance I,"2 BHK Apartment for Sale in Nyati Exuberance I, Undri Pune",703 sqft,₹54 Lac,"₹5,934 per sqft",8 out of 15
Pristine Allure,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Gaon, Kharadi Pune",749 sqft,₹95 Lac,"₹9,425 per sqft",5 out of 13
Majestique Signature Towers,"2 BHK Apartment for Sale in Majestique Signature Towers, Balewadi Pune",850 sqft,₹1 Cr,"₹8,333 per sqft",12 out of 16
Sentosa Pride,"3 BHK Apartment for Sale in Sentosa Pride, Punawale, Pimpri Chinchwad Pune",1277 sqft,₹1 Cr,"₹5,800 per sqft",11 out of 15
Ruby Park,"2 BHK Apartment for Sale in Ruby Park, Wakad Pune",950 sqft,₹90 Lac,"₹7,826 per sqft",7 out of 7
Godrej Woodsville,"3 BHK Apartment for Sale in Godrej Woodsville, Hinjawadi Pune",760 sqft,₹1.10 Cr,"₹12,088 per sqft",9 out of 21
Rohan Ekam,"2 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",869 sqft,₹1.20 Cr,,
,2 BHK Apartment for Sale in Sinhgad Road Pune,750 sqft,₹75 Lac,"₹8,152 per sqft",1 out of 5
,2 BHK Apartment for Sale in Amanora Park Town Pune,850 sqft,₹89.9 Lac,"₹7,831 per sqft",10 out of 30
Kumar Purab,"2 BHK Apartment for Sale in Kumar Purab, Hadapsar Pune",709 sqft,₹69.3 Lac,"₹6,979 per sqft",16 out of 20
ANP Ultimus,"2 BHK Apartment for Sale in ANP Ultimus, Wakad Pune",841 sqft,₹86.4 Lac,"₹7,612 per sqft",5 out of 35
,3 BHK Apartment for Sale in Kharadi Pune,1000 sqft,₹1.35 Cr,"₹9,643 per sqft",6 out of 12
Sunrise Tower,"2 BHK Apartment for Sale in Sunrise Tower, Nigdi, Pimpri Chinchwad Pune",821 sqft,₹73 Lac,"₹5,681 per sqft",9 out of 14
Puneville,"3 BHK Apartment for Sale in Puneville, Punvale Bazar Pune",1159 sqft,₹98 Lac,"₹6,129 per sqft",12 out of 22
Rohan Harita,"3 BHK Apartment for Sale in Rohan Harita, Tathawade Pimpri Chinchwad Pune",1380 sqft,₹1.18 Cr,"₹6,146 per sqft",12 out of 26
Sukhwani Skylines,"3 BHK Apartment for Sale in Sukhwani Skylines, Wakad Pune",1090 sqft,₹1.10 Cr,"₹6,761 per sqft",10 out of 16
Majestique Signature Towers,"2 BHK Apartment for Sale in Majestique Signature Towers, Balewadi Pune",830 sqft,₹1.05 Cr,"₹9,178 per sqft",2 out of 19
Vision Vanessa,"3 BHK Apartment for Sale in Vision Vanessa, Ravet, Pimpri Chinchwad Pune",1423 sqft,₹1.56 Cr,"₹7,800 per sqft",16 out of 21
Kumar Piccadilly,"2 BHK Apartment for Sale in Kumar Piccadilly, Wakad Pune",610 sqft,₹58 Lac,"₹6,776 per sqft",1 out of 11
Whistling,"3 BHK Apartment for Sale in Whistling, Bavdhan Pune",1150 sqft,₹1.20 Cr,"₹8,276 per sqft",10 out of 12
,3 BHK Apartment for Sale in Hinjawadi Pune,973 sqft,₹1 Cr,"₹7,407 per sqft",19 out of 22
Castel Royale Grande,"4 BHK Apartment for Sale in Castel Royale Grande, Bhoslenagar Ashok Nagar Pune",3278 sqft,₹9.80 Cr,"₹22,147 per sqft",1 out of 20
7 Plumeria Drive,"2 BHK Apartment for Sale in 7 Plumeria Drive, Tathawade Pimpri Chinchwad Pune",803 sqft,₹80 Lac,"₹7,561 per sqft",16 out of 22
,3 BHK Apartment for Sale in Keshav Nagar Mundhwa Pune,1100 sqft,₹95.5 Lac,"₹6,821 per sqft",5 out of 17
Kumar Palmsprings Towers,"3 BHK Apartment for Sale in Kumar Palmsprings Towers, Undri Pune",1200 sqft,₹97 Lac,"₹6,062 per sqft",6 out of 14
,4 BHK Apartment for Sale in Kharadi Pune,1885 sqft,₹2.75 Cr,"₹9,303 per sqft",20 out of 24
,"4 BHK Apartment for Sale in Balewadi Gaon, Balewadi Pune",2010 sqft,₹1.98 Cr,"₹7,279 per sqft",23 out of 28
Megapolis Serenity,"2 BHK Apartment for Sale in Megapolis Serenity, Hinjawadi Pune",698 sqft,₹58 Lac,"₹6,157 per sqft",Ground out of 17
24K Altura,"3 BHK Apartment for Sale in 24K Altura, Baner Pune",1141 sqft,₹1.65 Cr,"₹10,312 per sqft",
,3 BHK Apartment for Sale in Bhumkar Nagar Wakad Pune,1034 sqft,₹1.03 Cr,"₹7,378 per sqft",Upper Basement out of 27
,"2 BHK Apartment for Sale in Pimple Nilakh, Pimpri Chinchwad Pune",769 sqft,₹96.5 Lac,"₹9,297 per sqft",15 out of 25
Santiago Uptown,"2 BHK Apartment for Sale in Santiago Uptown, Adarsh Nagar Kiwale Pune",760 sqft,₹69 Lac,"₹5,610 per sqft",2 out of 11
Riverdale Grove,"2 BHK Apartment for Sale in Riverdale Grove, EON Free Zone, Kharadi Pune",652 sqft,₹81.5 Lac,"₹9,261 per sqft",5 out of 33
,3 BHK Apartment for Sale in Sector Number 11 Moshi Pune,983 sqft,₹98 Lac,"₹7,380 per sqft",10 out of 20
K Shire,"2 BHK Apartment for Sale in K Shire, Punawale, Pimpri Chinchwad Pune",793 sqft,₹65 Lac,"₹6,075 per sqft",8 out of 20
Pride World City Wellington,"3 BHK Apartment for Sale in Pride World City Wellington, Dhanori Lohegaon Road Pune",1050 sqft,₹90 Lac,"₹6,311 per sqft",13 out of 22
Godrej Emerald Waters,"5 BHK Apartment for Sale in Godrej Emerald Waters, Pimpri Pune",1776 sqft,₹2.50 Cr,"₹10,870 per sqft",8 out of 32
The Ornate,"3 BHK Apartment for Sale in The Ornate, Baner Pune",1141 sqm,₹1.45 Cr,"₹9,993 per sqft",11 out of 30
Ganga Florentina,"3 BHK Apartment for Sale in Ganga Florentina, NIBM Annexe Area Pune",1150 sqft,₹1.10 Cr,"₹7,333 per sqft",5 out of 15
Ethique Hrishikesh,"4 BHK Apartment for Sale in Ethique Hrishikesh, Model Colony, Shivaji Nagar Pune",,₹3.75 Cr,"₹18,090 per sqft",4 out of 13
Shapoorji Pallonji Sensorium Phase II,"3 BHK Apartment for Sale in Shapoorji Pallonji Sensorium Phase II, Hinjawadi Pune",973 sqft,₹1.24 Cr,,11 out of 19
Megapolis Mystic,"2 BHK Builder Floor for Sale in Megapolis Mystic, Hinjawadi Pune",835 sqft,₹67.9 Lac,,
Kshitij Residency,"2 BHK Apartment for Sale in Kshitij Residency, Kothrud Pune",720 sqft,₹1.23 Cr,"₹12,654 per sqft",8 out of 11
Yashada Jubilee Hills,"3 BHK Apartment for Sale in Yashada Jubilee Hills, Baner Pune",1421 sqft,₹1.90 Cr,"₹10,000 per sqft",18 out of 28
Kumar Parth Tower,"2 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",788 sqft,₹89 Lac,"₹8,373 per sqft",10 out of 25
Rahul Downtown,"2 BHK Apartment for Sale in Rahul Downtown, Tathawade Pimpri Chinchwad Pune",752 sqft,₹72.1 Lac,"₹7,100 per sqft",11 out of 30
,"4 BHK Apartment for Sale in Model Colony, Shivaji Nagar Pune",1945 sqft,₹4.75 Cr,"₹18,095 per sqft",1 out of 15
Oxy Beaumonde,"2 BHK Apartment for Sale in Oxy Beaumonde, Viman Nagar Pune",793 sqft,₹1.04 Cr,"₹9,369 per sqft",4 out of 9
Gini Vivante,"3 BHK Apartment for Sale in Gini Vivante, Kiwale, Dehu Road Pune",883 sqft,₹77 Lac,"₹6,411 per sqft",20 out of 27
Basil Maximus,"3 BHK Apartment for Sale in Basil Maximus, Punawale, Pimpri Chinchwad Pune",1126 sqft,₹1.10 Cr,"₹7,857 per sqft",
Kohinoor Viva City,"3 BHK Apartment for Sale in Kohinoor Viva City, Dhanori Pune",1085 sqft,₹91.4 Lac,"₹6,237 per sqft",7 out of 9
Basil Maximus,"2 BHK Apartment for Sale in Basil Maximus, Punawale, Pimpri Chinchwad Pune",749 sqft,₹71 Lac,"₹6,574 per sqft",15 out of 19
Nivasa Elevia,"2 BHK Apartment for Sale in Nivasa Elevia, Keshav Nagar Mundhwa Pune",750 sqft,₹59.9 Lac,"₹5,919 per sqft",5 out of 16
K City,"3 BHK Apartment for Sale in K City, Mundhwa Pune",940 sqft,₹81 Lac,"₹6,157 per sqft",5 out of 11
Belmac Residences,"3 BHK Apartment for Sale in Belmac Residences, Wadgaon Sheri Pune",1350 sqft,₹2.09 Cr,"₹11,477 per sqft",9 out of 15
Majestique Marbella,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1180 sqft,₹1.10 Cr,"₹6,497 per sqft",9 out of 17
,"3 BHK Apartment for Sale in Baner Gaon, Baner Pune",1374 sqft,₹1.90 Cr,,15 out of 34
Kohinoor Courtyard One,"3 BHK Apartment for Sale in Kohinoor Courtyard One, Wakad Pune",958 sqft,₹1.05 Cr,"₹8,121 per sqft",5 out of 24
Kohinoor Viva City,"3 BHK Apartment for Sale in Kohinoor Viva City, Parande Nagar, Dhanori Pune",1037 sqft,₹92 Lac,"₹6,571 per sqft",7 out of 9
Flamante By VTP Luxe Phase 1,"4 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1696 sqft,₹1.95 Cr,"₹9,775 per sqft",Upper Basement out of 33
Pride World City,"2 BHK Apartment for Sale in Pride World City, Charholi BK Pune",1010 sqft,₹95 Lac,"₹6,960 per sqft",2 out of 10
Eon Waterfront,"5 BHK Penthouse for Sale in Eon Waterfront, Kharadi Pune",,₹5.15 Cr,"₹8,583 per sqft",11 out of 12
Shapoorji Pallonji Vanaha,"3 BHK Apartment for Sale in Shapoorji Pallonji Vanaha, Bavdhan Pune",1495 sqft,₹2.09 Cr,"₹9,986 per sqft",10 out of 21
,2 BHK Apartment for Sale in Baner Pune,774 sqft,₹84 Lac,"₹7,636 per sqft",9 out of 25
Majestique Marbella,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",824 sqft,₹90 Lac,"₹7,627 per sqft",9 out of 17
Legacy Ivy,"2 BHK Apartment for Sale in Legacy Ivy, Punawale, Pimpri Chinchwad Pune",712 sqft,₹61.3 Lac,"₹6,694 per sqft",5 out of 12
,3 BHK Apartment for Sale in Baner Pune,1361 sqft,₹1.90 Cr,"₹13,960 per sqft",5 out of 32
Empyrean Leela,"2 BHK Apartment for Sale in Empyrean Leela, Kharadi Pune",774 sqft,₹96 Lac,,9 out of 18
,2 BHK Apartment for Sale in Koregaon Park Pune,905 sqft,₹1.50 Cr,"₹11,839 per sqft",5 out of 15
Royal KP Stellar,"2 BHK Apartment for Sale in Royal KP Stellar, Dorabjee Paradise, Mohammed Wadi Pune",750 sqft,₹65 Lac,"₹6,190 per sqft",5 out of 20
Solitaire Spaces,"3 BHK Apartment for Sale in Solitaire Spaces, Baner Pune",1350 sqft,₹1.85 Cr,"₹10,541 per sqft",8 out of 21
Pharande Puneville Phase III Cluster A,"3 BHK Apartment for Sale in Pharande Puneville Phase III Cluster A, Tajane Wasti Pune",1162 sqft,₹1.15 Cr,"₹7,334 per sqft",11 out of 22
Majestique Towers,"3 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",1095 sqft,₹1.10 Cr,"₹8,314 per sqft",4 out of 20
Shubh Tristar,"4 BHK Apartment for Sale in Shubh Tristar, Mundhwa Pune",1707 sqft,₹1.90 Cr,"₹8,444 per sqft",31 out of 36
Godrej River Royale,"3 BHK Apartment for Sale in Godrej River Royale, Mahalunge Pune",1688 sqft,₹2.50 Cr,"₹11,364 per sqft",16 out of 38
Pristine Allure,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",760 sqft,₹75.5 Lac,"₹7,704 per sqft",7 out of 13
Sunrise Tower,"3 BHK Apartment for Sale in Sunrise Tower, Nigdi, Pimpri Chinchwad Pune",1062 sqft,₹1.14 Cr,"₹7,666 per sqft",9 out of 14
Kairosa,"1 BHK Apartment for Sale in Kairosa, Punawale, Pimpri Chinchwad Pune",440 sqft,₹36 Lac,"₹6,000 per sqft",10 out of 14
,1 BHK Apartment for Sale in Bhumkar Nagar Wakad Pune,492 sqft,₹48.5 Lac,,2 out of 12
Lodha Belmondo,"3 BHK Apartment for Sale in Lodha Belmondo, Veerbhadra Nagar, Baner Pune",,₹1.59 Cr,"₹12,027 per sqft",3 out of 5
Nirvana Beyond,"2 BHK Apartment for Sale in Nirvana Beyond, Ravet, Pimpri Chinchwad Pune",678 sqft,₹52 Lac,"₹5,479 per sqft",5 out of 18
Nyati Emerald,"2 BHK Apartment for Sale in Nyati Emerald, Baner Pune",838 sqft,₹98.5 Lac,"₹8,709 per sqft",22 out of 30
Gini Vivante,"2 BHK Apartment for Sale in Gini Vivante, Adarsh Nagar Kiwale Pune",787 sqft,₹57 Lac,"₹7,243 per sqft",10 out of 21
Geras Island of Joy,"3 BHK Apartment for Sale in Geras Island of Joy, Wagholi Pune",928 sqft,₹1.14 Cr,,17 out of 30
V Uptown,"2 BHK Apartment for Sale in V Uptown, Ravet, Pimpri Chinchwad Pune",640 sqft,₹58 Lac,"₹6,705 per sqft",Upper Basement out of 13
,3 BHK Apartment for Sale in Balewadi Pune,1121 sqft,₹1.26 Cr,"₹8,328 per sqft",2 out of 7
Surya Skies,"3 BHK Apartment for Sale in Surya Skies, Punawale, Pimpri Chinchwad Pune",974 sqft,₹77.9 Lac,"₹5,922 per sqft",6 out of 12
Rama Metro Life Maxima Residences,"3 BHK Apartment for Sale in Rama Metro Life Maxima Residences, Tathawade Pimpri Chinchwad Pune",884 sqft,₹95 Lac,"₹7,963 per sqft",9 out of 12
Sunrise Tower,"2 BHK Apartment for Sale in Sunrise Tower, Pradhikaran Nigdi Pune",800 sqft,₹85 Lac,"₹7,727 per sqft",4 out of 10
Godrej Meadows Phase 2,"2 BHK Apartment for Sale in Godrej Meadows Phase 2, Mahalunge Pune",640 sqft,₹72 Lac,"₹7,579 per sqft",16 out of 27
Pooja Complex,"2 BHK Apartment for Sale in Pooja Complex, Hadapsar Pune",903 sqft,₹70 Lac,"₹6,890 per sqft",1 out of 6
The Balmoral Riverside,"4 BHK Apartment for Sale in The Balmoral Riverside, Balewadi Pune",1831 sqft,₹3 Cr,"₹16,251 per sqft",10 out of 37
Nandan Ace,"3 BHK Apartment for Sale in Nandan Ace, Balewadi Pune",1200 sqft,₹1.70 Cr,"₹10,625 per sqft",4 out of 21
,4 BHK Apartment for Sale in Law College Road Pune,1884 sqft,₹4.70 Cr,"₹18,482 per sqft",7 out of 11
,4 BHK Apartment for Sale in Bhoslenagar Ashok Nagar Pune,2550 sqft,₹7.35 Cr,"₹21,778 per sqft",5 out of 7
Bramha the Collection,"2 BHK Apartment for Sale in Bramha the Collection, New Kalyani Nagar Pune",808 sqft,₹91 Lac,"₹7,280 per sqft",5 out of 21
VTP Beaumonde,"3 BHK Apartment for Sale in VTP Beaumonde, Manjari Khurd Pune",1055 sqft,₹1.15 Cr,"₹7,372 per sqft",20 out of 22
Supreme Estia,"3 BHK Apartment for Sale in Supreme Estia, Pan Card Club Road Pune",1067 sqft,₹1.51 Cr,"₹10,786 per sqft",5 out of 19
Shapoorji Joyville Hadapsar Annexe,"2 BHK Apartment for Sale in Shapoorji Joyville Hadapsar Annexe, Hadapsar Pune",590 sqft,₹58.9 Lac,"₹7,390 per sqft",9 out of 22
,3 BHK Apartment for Sale in Mundhwa Pune,1021 sqft,₹1.35 Cr,"₹9,447 per sqft",5 out of 6
Silver Gardenia,"3 BHK Apartment for Sale in Silver Gardenia, Moshi Pune",1004 sqft,₹80.2 Lac,"₹5,704 per sqft",12 out of 22
Life Republic Sector R22 Avenue Atmos,"2 BHK Apartment for Sale in Life Republic Sector R22 Avenue Atmos, Hinjawadi Pune",800 sqft,₹78.5 Lac,,10 out of 20
Bramha the Collection,"4 BHK Apartment for Sale in Bramha the Collection, New Kalyani Nagar Pune",2200 sqft,₹4.10 Cr,"₹15,769 per sqft",27 out of 28
Majestique Towers,"2 BHK Apartment for Sale in Majestique Towers, Wagholi Pune",760 sqft,₹75 Lac,"₹8,197 per sqft",9 out of 23
Shapoorji Pallonji Vanaha,"3 BHK Apartment for Sale in Shapoorji Pallonji Vanaha, Bavdhan Pune",1481 sqft,₹1.99 Cr,"₹10,350 per sqft",Ground out of 21
Sankalp Anand Baug Building D,"1 BHK Apartment for Sale in Sankalp Anand Baug Building D, Saswad Pune",462 sqft,₹28.3 Lac,"₹4,535 per sqft",4 out of 12
,3 BHK Apartment for Sale in Erandwane Pune,1629 sqft,₹3.17 Cr,"₹14,417 per sqft",1 out of 9
Park Landmark,"2 BHK Apartment for Sale in Park Landmark, Bibwewadi Pune",,₹96.3 Lac,"₹8,000 per sqft",1 out of 12
Yashwin Orizzonte,"3 BHK Apartment for Sale in Yashwin Orizzonte, Kharadi Pune",930 sqft,₹1.30 Cr,"₹9,630 per sqft",5 out of 14
Aishwaryam Insignia,"2 BHK Apartment for Sale in Aishwaryam Insignia, Punawale, Pimpri Chinchwad Pune",690 sqft,₹49 Lac,"₹5,889 per sqft",7 out of 22
Venkatesh Erandwane Central,"3 BHK Apartment for Sale in Venkatesh Erandwane Central, Patwardhan Baug Pune",1139 sqft,₹2.81 Cr,"₹16,826 per sqft",10 out of 29
VTP Earth One,"4 BHK Apartment for Sale in VTP Earth One, Mahalunge Pune",1767 sqft,₹2.05 Cr,"₹8,556 per sqft",7 out of 35
K Town Kiwale,"4 BHK Apartment for Sale in K Town Kiwale, Kiwale, Dehu Road Pune",1207 sqft,₹1.10 Cr,"₹7,383 per sqft",
Pride World City Wellington,"3 BHK Apartment for Sale in Pride World City Wellington, Dhanori Lohegaon Road Pune",1156 sqft,₹93.6 Lac,"₹5,777 per sqft",23 out of 23
iLife Upper NIBM,"3 BHK Apartment for Sale in iLife Upper NIBM, Undri Pune",1025 sqft,₹79 Lac,"₹5,505 per sqft",4 out of 15
Que 914,"3 BHK Apartment for Sale in Que 914, Keshav Nagar Mundhwa Pune",1091 sqft,₹83.5 Lac,"₹5,909 per sqft",14 out of 22
Royal KP Stellar,"2 BHK Apartment for Sale in Royal KP Stellar, NIBM Annexe Area Pune",,₹82 Lac,"₹7,961 per sqft",5 out of 20
,2 BHK Apartment for Sale in Tathawade Pimpri Chinchwad Pune,778 sqft,₹81 Lac,"₹7,834 per sqft",9 out of 20
Lodha Estilo,"4 BHK Apartment for Sale in Lodha Estilo, Wagholi Pune",1819 sqft,₹2.95 Cr,"₹12,011 per sqft",11 out of 27
Cloud 51,"3 BHK Apartment for Sale in Cloud 51, Bavdhan Pune",1049 sqft,₹1.15 Cr,"₹8,333 per sqft",7 out of 21
K City,"3 BHK Apartment for Sale in K City, Keshav Nagar Mundhwa Pune",980 sqft,₹92 Lac,"₹6,907 per sqft",13 out of 13
Newton Homes,"2 BHK Apartment for Sale in Newton Homes, Hadapsar Pune",775 sqft,₹61 Lac,,5 out of 7
Gera World of Joy,"3 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",1250 sqft,₹1.70 Cr,"₹10,071 per sqft",8 out of 14
Osian One and Only,"3 BHK Apartment for Sale in Osian One and Only, Mundhwa Pune",1170 sqft,₹1.41 Cr,"₹8,930 per sqft",10 out of 12
,3 BHK Apartment for Sale in Pan Card Club Road Pune,1190 sqft,₹1.75 Cr,"₹12,500 per sqft",Lower Basement out of 22
Blue Ridge,"2 BHK Apartment for Sale in Blue Ridge, Hinjawadi Pune",1050 sqft,₹1.25 Cr,"₹8,929 per sqft",25 out of 30
,2 BHK Apartment for Sale in Mohan Nagar Co operative Society Pune,838 sqft,₹1 Cr,"₹8,842 per sqft",11 out of 27
Dosti Greenscapes,"2 BHK Apartment for Sale in Dosti Greenscapes, Magarpatta Pune",858 sqft,₹98 Lac,"₹8,160 per sqft",8 out of 21
Yash Orchid,"2 BHK Apartment for Sale in Yash Orchid, Baner Pune",850 sqft,₹1.20 Cr,"₹9,302 per sqft",2 out of 9
,3 BHK Apartment for Sale in Pashan Pune,1050 sqft,₹1.10 Cr,"₹7,333 per sqft",12 out of 14
Yoo Pune,"4 BHK Apartment for Sale in Yoo Pune, Magarpatta Pune",5626 sqft,₹7.60 Cr,"₹13,509 per sqft",14 out of 20
